"ALLOATI, Matias",ARG,,ROW
"FIGONI, Pablo",ARG,,ROW
"PALMERO, Lucas",ARG,,ROW
"DOPPELHOFER, Alexander",AUT,,EU
"MAIER, Roland",AUT,,EU
"PUSCHMANN, Lukas",AUT,,EU
"TOMISSER, Manuel",AUT,,EU
"WANKMULLER, Alexander",AUT,,EU
"WEINGUNY, Lena",AUT,,EU
"MENEGAZZO, Gian",BRA,,ROW
"SANCHES, Amauri",BRA,,ROW
"MAHONEY, Grant",CAN,,NA
"RINFRET, Anne",CAN,,NA
"ROJAS, Felipe",CHI,,ROW
"LI, Jian",CHN,,ROW
"LI, Wenlong",CHN,,ROW
"SONG, Panjing",CHN,,ROW
"TANG, Zhou",CHN,,ROW
"ANDERSEN, Morten",DEN,,EU
"LETH, Henrik",DEN,,EU
"NØHR, Jesper",DEN,,EU
"CHRISTENSEN, Tina",DEN,,EU
"CHRISTIANSEN, Freddy",DEN,,EU
"HANSEN, Sheila",DEN,,EU
"KAWATANI, Eigo",DEN,,EU
"ROSTVED, Frank",DEN,,EU
"STEENHOLM, Isabel",DEN,,EU
"HAAPSAMO, Anne-Mari",FIN,,EU
"HANNIKAINEN, Janne",FIN,,EU
"HIRVOLA, Ossi",FIN,,EU
"KIRJOKANGAS, Mikko",FIN,,EU
"LENSU, Konsta",FIN,,EU
"OSIPOV, Kirill",FIN,,EU
"SHAN, Yuanqi",FIN,,EU
"CHEN, Chaolei",FRA,,EU
"DI DOMENICO, Annabel",FRA,,EU
"HUYNH, Joe-Calberson",FRA,,EU
"MATOS, Sérgio",FRA,,EU
"PICARD, Simon",FRA,,EU
"RATSIMANDRESY, Joël",FRA,,EU
"CLARKE, David",GBR,,EU
"DONAGHY, Michael",GBR,,EU
"DRURY, Shaun",GBR,,EU
"DUCKWORTH, John",GBR,,EU
"HAINES, Mark",GBR,,EU
"LESTER, Martin",GBR,,EU
"LI, Hong",GBR,,EU
"LIU, Yixuan",GBR,,EU
"ROBISON, Aidan",GBR,,EU
"ROWE, Christopher",GBR,,EU
"SAKAMOTO, Gemma",GBR,,EU
"GAHLER, Daniel",GER,,EU
"HAHN, Timur",GER,,EU
"MARTIN, Philipp",GER,,EU
"ROOS, Frauke",GER,,EU
"STUMMEYER, Ilka",GER,,EU
"ESCHENBURG, Axel",GER,,EU
"ZAHRADNIK, Michael",GER,,EU
"DINNYESI, Zoltan",HUN,,EU
"ABDOLLAHI, Philip",IRN,,ROW
"AKASHI, Minako",JPN,,JPN
"AOI, Yurika",JPN,,JPN
"AOYAMA, Shuusuke",JPN,,JPN
"FUJISAKI, Satoshi",JPN,,JPN
"FUKUMITSU, Masao",JPN,,JPN
"FURUHASHI, Takashi",JPN,,JPN
"HAYAMA, Makoto",JPN,,JPN
"HIRANO, Ryoei",JPN,,JPN
"IDE, Kouhei",JPN,,JPN
"IGA, Norio",JPN,,JPN
"ITOU, Yuukou",JPN,,JPN
"JENN",JPN,,JPN
"KIKUHARA, Masato",JPN,,JPN
"KIM, Mio",JPN,,JPN
"KIYOHARA, Tsugumitsu",JPN,,JPN
"KOJIMA, Yu",JPN,,JPN
"KONNO, Shintarou",JPN,,JPN
"KUROKI, Masao",JPN,,JPN
"KYAKUNO, Naoki",JPN,,JPN
"MAEHARA, Yuudai",JPN,,JPN
"MASUDA, Ryuuichi",JPN,,JPN
"MITO, Ryousuke",JPN,,JPN
"MIYAUCHI, Kozue",JPN,,JPN
"MORISHITA, Masato",JPN,,JPN
"MORIYAMA, Shigekazu",JPN,,JPN
"NAKAMURA, Shingo",JPN,,JPN
"NAKAMURA, Tsuyoshi",JPN,,JPN
"NARA, Keijyun",JPN,,JPN
"NELSON, Garthe",JPN,,JPN
"NIKAIDOU, Aki",JPN,,JPN
"NISHIJIMA, Kazuhiko",JPN,,JPN
"NISHIKAWA, Jun",JPN,,JPN
"NISHIKAWA, Mai",JPN,,JPN
"OGASAHARA, Nao",JPN,,JPN
"SAITOU, Maiko",JPN,,JPN
"SASAKI, Hisato",JPN,,JPN
"SETOKUMA, Naoki",JPN,,JPN
